source,date posted,title,description,url,transmission,location,price,year,mileage,YearScore,MileageScore,PriceScore,TotalScore,PMScore,
Kijiji,17/08/2016,2012 fiat 500 hatchback,"amazing fiat 500 in fantastic condition with minimal wear and tear. high fuel efficiency, reliability and surprisingly roomy. leather interior and fully loaded with all bells and whistles. inclusions‰Û_",http://www.kijiji.ca/v-cars-trucks/guelph/2012-fiat-500-hatchback/1191104995,automatic,guelph,"$8,000.00",2012,"72,000",0.5,0.407175525,0,0.907175525,0.407175525,
autoTRADER,,"2010 mazda mazda3 sport gx,alloy wheels,power windows,*certified*","** we finance all types of credit, finance rate starts from 4.94% (o.a.c)**
** all trade in welc...",http://wwwb.autotrader.ca/a/Mazda/MAZDA3/Mississauga/Ontario/5_27741711_20120229171541891/?ursrc=hl&showcpo=ShowCPO&orup=16_100_25,,within 17 km,"$6,988",2010,"93,568",0,0.087947545,0.253,0.340947545,0.340947545,
autoTRADER,,2011 suzuki swift + 4 door,"2011 suzuki swift.  auto, 4 door, only 78k, very clean.",http://wwwb.autotrader.ca/a/Suzuki/Swift/BRAMPTON/Ontario/19_9489949_/?showcpo=ShowCPO&orup=3_100_25,,within 22 km,"$7,995",2011,"78,000",0.25,0.318369522,0.00125,0.569619522,0.319619522,
Kijiji,04/09/2016,2012 ford focus se sedan,"price reduced $1000.00, needs to go .new car is here, need room in driveway. dealer maintained great condition. turn key, safety, drive clean and buyers package included. great on gas. six speed‰Û_",http://www.kijiji.ca/v-cars-trucks/city-of-toronto/2012-ford-focus-se-sedan/1196448680,automatic,city of toronto,"$6,999.00",2012,"99,000",0.5,0.00754851,0.25025,0.75779851,0.25779851,
Kijiji,08/09/2016,2011 nissan sentra s sedan,"second owner (purchased from dealership at ~60,000km, regularly maintained at dealer, safety/e-test certified, clean carproof (available), no low-balling please, serious inquiries only automatic,‰Û_",http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2011-nissan-sentra-s-sedan/1197773767,automatic,mississauga / peel region,"$8,000.00",2011,"82,946",0.25,0.245163773,0,0.495163773,0.245163773,
autoTRADER,,2011 nissan sentra s,"second owner (purchased from dealership at ~60,000km, regularly maintained at dealer, safety/e-te...",http://wwwb.autotrader.ca/a/Nissan/Sentra/MISSISSAUGA/Ontario/19_9782186_/?showcpo=ShowCPO&orup=2_100_25,,within 17 km,"$8,000",2011,"82,946",0.25,0.245163773,0,0.495163773,0.245163773,
Kijiji,17/08/2016,2012 mazda mazda3 *need gone asap - reduced price*,"i am selling my 2012 mazda 3! it's honestly a great car, great on gas, fun to drive! i get regular oil changes, just recently had the front and back breaks done. comes with a set of summer and winter‰Û_",http://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2012-mazda-mazda3-need-gone-asap-reduced-price/1191100428,automatic,mississauga / peel region,"$8,000.00",2012,"83,000",0.5,0.244364519,0,0.744364519,0.244364519,
autoTRADER,,2010 mazda mazda3 gt,"sale date: 4th september 2016
the vehicle may not contain all of the features specified. the m...",http://wwwb.autotrader.ca/a/Mazda/MAZDA3/Etobicoke/Ontario/5_28732349_20160419164952262/?showcpo=ShowCPO&orup=14_100_25,,within 23 km,"$7,250",2010,"97,700",0,0.026789811,0.1875,0.214289811,0.214289811,
autoTRADER,,2011 chevrolet cruze ls,"a great, reliable, safe car. perfect for a new driver. 
this has been driven around the mississa...",http://wwwb.autotrader.ca/a/Chevrolet/Cruze/ETOBICOKE/Ontario/19_9553033_/?showcpo=ShowCPO&orup=10_100_25,,within 23 km,"$7,700",2011,"91,000",0.25,0.125956515,0.075,0.450956515,0.200956515,
autoTRADER,,"2011 ford fiesta se,full automatic,low km*certified*",spotless black on grey interior fiesta..full automatic version with 86k only..reliable vehicle wi...,http://wwwb.autotrader.ca/a/Ford/Fiesta/Mississauga/Ontario/5_28417310_20120229171541891/?ursrc=hl&showcpo=ShowCPO&orup=5_100_25,,within 17 km,"$7,988",2011,"86,100",0.25,0.198481417,0.003,0.451481417,0.201481417,
